"Name","Action","Direction"
"CoreNet-ICMP6-LR-In","Allow","Inbound"
"DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","Allow","Inbound"
"CoreNet-DHCPV6-Out","Allow","Outbound"
"CoreNet-ICMP6-TE-In","Allow","Inbound"
"MDNS-In-UDP-Domain-Active","Allow","Inbound"
"RemoteAssistance-In-TCP-EdgeScope-Active","Allow","Inbound"
"NETDIS-UPnP-Out-TCP-Active","Allow","Outbound"
"NETDIS-NB_Name-Out-UDP-Active","Allow","Outbound"
"CoreNet-GP-Out-TCP","Allow","Outbound"
"MDNS-In-UDP-Public-Active","Allow","Inbound"
"PlayTo-QWave-Out-TCP-PlayToScope","Allow","Outbound"
"PlayTo-In-UDP-LocalSubnetScope","Allow","Inbound"
"PlayTo-Out-UDP-PlayToScope","Allow","Outbound"
"PlayTo-Out-UDP-LocalSubnetScope","Allow","Outbound"
"PlayTo-In-UDP-NoScope","Allow","Inbound"
"PlayTo-In-RTSP-NoScope","Allow","Inbound"
"PlayTo-QWave-In-UDP-PlayToScope","Allow","Inbound"
"PlayTo-QWave-Out-UDP-PlayToScope","Allow","Outbound"
"PlayTo-HTTPSTR-In-TCP-LocalSubnetScope","Allow","Inbound"
"PlayTo-QWave-In-TCP-PlayToScope","Allow","Inbound"
"PlayTo-SSDP-Discovery-PlayToScope","Allow","Inbound"
"PlayTo-Out-UDP-NoScope","Allow","Outbound"
"PlayTo-UPnP-Events-PlayToScope","Allow","Inbound"
"PlayTo-In-RTSP-LocalSubnetScope","Allow","Inbound"
"PlayTo-In-UDP-PlayToScope","Allow","Inbound"
"PlayTo-HTTPSTR-In-TCP-NoScope","Allow","Inbound"
"PlayTo-HTTPSTR-In-TCP-PlayToScope","Allow","Inbound"
"PlayTo-In-RTSP-PlayToScope","Allow","Inbound"
"{67B44298-B9D3-489E-B2FA-198E40F76AB1}","Allow","Inbound"
"{A52D13BF-0650-4159-B764-238583ABBF23}","Allow","Outbound"
"{9F78162E-93AF-4BF4-835F-FBF2F610B314}","Allow","Outbound"
"{A4070BB9-FF04-49D6-BE8C-408EEA02F6BB}","Allow","Inbound"
"{0FAE1E78-12F3-4523-8D55-28D557AB797E}","Allow","Inbound"
"{E238A2FD-14A1-4740-8D13-42DDF94C6BB3}","Allow","Outbound"
"{C33DB32A-FF4D-4786-A7A2-ABD510B0053E}","Allow","Outbound"
"{E71037C2-6BF9-4286-ACCF-5A298E2F0545}","Allow","Inbound"
"{FBBE892E-C3FF-492D-9FFE-B7E2AC852E9A}","Allow","Outbound"
"{0087F946-B43C-457A-B58E-632DF1B0202C}","Allow","Inbound"
"{852B0394-98AC-4B9B-AB8A-1343B707FA64}","Allow","Outbound"
"{9D31C6B3-0393-490B-9584-A2BC352331E3}","Allow","Outbound"
"{676CE161-685F-49EF-BC22-C8EAC29A51DD}","Allow","Outbound"
"{263FAA0A-1A02-4315-A619-0F738A1CFFDE}","Allow","Outbound"
"{F6C491BC-3F77-4166-8DA7-2A182AB91F49}","Allow","Outbound"
"{3597EA42-9343-4E98-B78A-ACF3D0FFE5FE}","Allow","Inbound"
"{E4FE6B36-C8BC-4943-B6EE-CC4E6759472C}","Allow","Outbound"
"{236DDC29-D95B-442A-AE73-AE49368D4F02}","Allow","Inbound"
"{B191FCDD-EC7D-4798-815C-7098D5DFF413}","Allow","Outbound"
"{7333A0EA-C2E6-44E5-A36A-349F671FC297}","Allow","Outbound"
"{0BC6739E-368A-4244-BFF9-D8AF5DB62E32}","Allow","Outbound"
"{9D437C89-8C8F-46EE-974C-F97129D6276A}","Allow","Inbound"
"{D49BF0B1-EFAB-46F1-9239-ACA1A8FCBAEC}","Allow","Inbound"
"{2C37E571-B1B6-46C0-A0F0-5C0A58D46003}","Allow","Inbound"
"{0C5E46BC-C455-40C7-AC41-F35A6941EB4B}","Allow","Outbound"
"{DEBBD7E4-89E2-4F8D-8CB7-9B06426E0D95}","Allow","Outbound"
"{091B5C4A-C3BE-42C8-B52E-749C179E0BB3}","Allow","Inbound"
